date,close,open,high,low,volume
19-Sep-2016,1205.72,1182.50,1213.50,1175.00,2800000
20-Sep-2016,1203.25,1205.50,1208.45,1192.70,1180000
21-Sep-2016,1206.70,1203.85,1212.00,1200.35,1680000
22-Sep-2016,1189.00,1212.62,1214.00,1185.55,2860000
23-Sep-2016,1199.05,1191.00,1201.92,1185.58,1800000
26-Sep-2016,1200.55,1200.55,1209.55,1197.50,1750000
27-Sep-2016,1218.05,1200.55,1224.00,1200.55,2040000
28-Sep-2016,1211.53,1215.50,1218.75,1207.60,1730000
29-Sep-2016,1218.90,1217.50,1228.25,1209.80,3600000
30-Sep-2016,1215.40,1218.53,1224.90,1211.55,2180000
3-Oct-2016,1205.85,1225.00,1228.83,1200.55,1820000
4-Oct-2016,1202.58,1210.00,1212.53,1199.00,1780000
5-Oct-2016,1193.17,1204.00,1207.70,1188.05,1180000
6-Oct-2016,1194.38,1197.50,1201.20,1186.38,2270000
7-Oct-2016,1183.90,1194.00,1194.00,1179.10,1820000
10-Oct-2016,1190.15,1184.95,1193.45,1177.53,1200000
13-Oct-2016,1164.45,1181.65,1184.95,1160.45,5170000
14-Oct-2016,1183.10,1157.50,1193.50,1145.50,7740000
17-Oct-2016,1181.22,1184.45,1187.90,1172.20,2730000
18-Oct-2016,1200.10,1188.00,1207.85,1177.40,2130000
19-Oct-2016,1197.55,1200.50,1205.00,1185.15,1990000
20-Oct-2016,1200.58,1198.45,1204.67,1193.00,1270000
21-Oct-2016,1214.33,1200.00,1215.95,1199.12,1260000
24-Oct-2016,1213.85,1214.10,1217.45,1201.28,1250000
25-Oct-2016,1199.22,1202.50,1207.30,1190.50,1770000
26-Oct-2016,1198.12,1199.30,1201.38,1186.25,1440000
27-Oct-2016,1209.05,1189.85,1214.75,1182.75,2940000
28-Oct-2016,1199.35,1205.00,1207.55,1194.00,1750000
30-Oct-2016,1195.53,1199.35,1204.47,1191.00,85300000
1-Nov-2016,1175.00,1199.85,1199.85,1167.08,2930000
2-Nov-2016,1152.03,1170.50,1172.00,1147.50,2330000
3-Nov-2016,1159.72,1147.00,1167.50,1142.25,1460000
4-Nov-2016,1165.28,1160.00,1168.08,1147.00,1180000
7-Nov-2016,1138.53,1168.95,1172.45,1130.03,2050000
8-Nov-2016,1141.60,1140.22,1153.50,1130.00,1930000
9-Nov-2016,1084.92,1090.00,1137.50,1071.42,4500000
10-Nov-2016,1077.72,1102.40,1108.75,1070.40,2170000
11-Nov-2016,1050.58,1073.53,1073.53,1043.10,2400000
15-Nov-2016,1060.65,1058.45,1078.78,1025.95,6290000
16-Nov-2016,1094.80,1072.55,1104.45,1069.00,4020000
17-Nov-2016,1068.60,1092.50,1104.30,1065.08,2500000
18-Nov-2016,1062.55,1071.00,1075.00,1052.10,2140000
21-Nov-2016,1066.45,1063.10,1070.00,1052.50,1790000
22-Nov-2016,1067.50,1066.00,1088.72,1061.03,1320000
23-Nov-2016,1078.17,1074.50,1081.47,1063.60,1280000
24-Nov-2016,1094.22,1077.45,1103.80,1068.50,3030000
